Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
0.097,-7.49,99.55,1
0.117,-7.49,99.55,1
0.137,-7.61,99.55,1
0.157,-7.49,99.43,1
0.177,-7.61,99.55,1
0.197,-7.49,99.55,1
0.217,-7.49,99.43,1
0.237,-7.49,99.55,1
0.257,-7.49,99.43,1
0.277,-7.49,99.55,1
0.297,-7.49,99.43,1
0.317,-7.61,99.43,1
0.337,-7.49,99.43,1
0.357,-7.49,99.43,1
0.377,-7.49,99.43,1
0.397,-7.49,99.43,1
0.417,-7.49,99.43,1
0.437,-7.49,99.43,1
0.457,-7.49,99.43,1
0.477,-7.49,99.43,1
0.497,-7.49,99.43,1
0.517,-7.49,99.43,1
0.537,-7.49,99.43,1
0.557,-7.61,99.43,1
0.577,-7.49,99.43,1
0.597,-7.49,99.43,1
0.617,-7.49,99.43,1
0.637,-7.61,99.43,1
0.657,-7.49,99.43,1
0.677,-7.49,99.43,1
0.697,-7.49,99.43,1
0.717,-7.49,99.43,1
0.737,-7.49,99.43,1
0.757,-7.49,99.55,1
0.777,-7.49,99.43,1
0.797,-7.61,99.43,1
0.817,-7.49,99.43,1
0.837,-7.49,99.43,1
0.857,-7.49,99.43,1
0.877,-7.49,99.43,1
0.897,-7.49,99.43,1
0.898,-7.49,99.43,1
0.918,-7.49,99.43,1
0.938,-7.49,99.43,1
0.958,-7.49,99.43,1
0.978,-7.49,99.55,1
0.998,-7.49,99.43,1
1.018,-7.49,99.43,1
1.038,-7.49,99.55,1
1.058,-7.49,99.43,1
1.078,-7.49,99.55,1
1.098,-7.49,99.43,1
1.118,-7.49,99.43,1
1.138,-7.49,99.55,1
1.158,-7.49,99.43,1
1.178,-7.49,99.55,1
1.198,-7.49,99.43,1
1.218,-7.49,99.43,1
1.238,-7.49,99.43,1
1.258,-7.49,99.55,1
1.278,-7.49,99.43,1
1.298,-7.49,99.43,1
1.299,-7.49,99.43,1
1.319,-7.49,99.43,1
1.339,-7.49,99.43,1
1.359,-7.49,99.43,1
1.379,-7.49,99.43,1
1.399,-7.49,99.43,1
1.419,-7.49,99.43,1
1.439,-7.49,99.43,1
1.459,-7.49,99.43,1
1.479,-7.61,99.43,1
1.499,-7.49,99.55,1
1.519,-7.49,99.55,1
1.539,-7.49,99.55,1
1.559,-7.49,99.55,1
1.579,-7.49,99.55,1
1.599,-7.49,99.43,1
1.619,-7.49,99.55,1
1.639,-7.49,99.43,1
1.659,-7.49,99.43,1
1.679,-7.49,99.43,1
1.699,-7.49,99.43,1
1.7,-7.49,99.43,1
1.72,-7.49,99.43,1
1.74,-7.49,99.43,1
1.76,-7.49,99.43,1
1.78,-7.49,99.43,1
1.8,-7.49,99.43,1
1.82,-7.49,99.43,1
1.84,-7.49,99.43,1
1.86,-7.49,99.43,1
1.88,-7.49,99.43,1
1.9,-7.49,99.43,1
1.92,-7.49,99.43,1
1.94,-7.49,99.55,1
1.96,-7.49,99.55,1
1.98,-7.49,99.43,1
2.0,-7.49,99.55,1
2.02,-7.49,99.55,1
2.04,-7.49,99.43,1
2.06,-7.49,99.55,1
2.08,-7.49,99.43,1
2.1,-7.49,99.43,1
2.12,-7.49,99.43,1
2.14,-7.49,99.43,1
2.16,-7.49,99.43,1
2.18,-7.49,99.43,1
2.2,-7.49,99.43,1
2.22,-7.49,99.43,1
2.24,-7.49,99.43,1
2.26,-7.49,99.43,1
2.28,-7.49,99.55,1
2.3,-7.49,99.43,1
2.32,-7.49,99.43,1
2.34,-7.49,99.43,1
2.36,-7.49,99.43,1
2.38,-7.49,99.43,1
2.4,-7.49,99.43,1
2.42,-7.61,99.43,1
2.44,-7.49,99.43,1
2.46,-7.49,99.43,1
2.48,-7.49,99.55,1
2.501,-7.49,99.55,1
2.521,-7.49,99.55,1
2.541,-7.49,99.55,1
2.561,-7.49,99.55,1
2.581,-7.49,99.43,1
2.601,-7.49,99.55,1
2.621,-7.61,99.55,1
2.641,-7.49,99.55,1
2.661,-7.49,99.43,1
2.681,-7.61,99.43,1
2.701,-7.49,99.43,1
2.721,-7.49,99.43,1
2.741,-7.49,99.43,1
2.761,-7.49,99.43,1
2.781,-7.49,99.43,1
2.801,-7.49,99.43,1
2.821,-7.49,99.43,1
2.841,-7.49,99.55,1
2.861,-7.49,99.43,1
2.881,-7.49,99.43,1
2.902,-7.49,99.43,1
2.922,-7.49,99.55,1
2.942,-7.49,99.43,1
2.962,-7.61,99.55,1
2.982,-7.49,99.43,1
3.002,-7.49,99.55,1
3.022,-7.49,99.43,1
3.042,-7.49,99.55,1
3.062,-7.61,99.43,1
3.082,-7.49,99.55,1
3.102,-7.49,99.43,1
3.122,-7.61,99.43,1
3.142,-7.49,99.43,1
3.162,-7.49,99.43,1
3.182,-7.49,99.43,1
3.202,-7.49,99.43,1
3.222,-7.49,99.43,1
3.242,-7.49,99.43,1
3.262,-7.49,99.43,1
3.282,-7.49,99.43,1
3.302,-7.49,99.43,1
3.303,-7.49,99.43,1
3.323,-7.49,99.55,1
3.343,-7.37,99.43,1
3.363,-7.37,99.55,1
3.383,-7.25,99.55,1
3.403,-7.37,99.55,1
3.423,-7.37,99.55,1
3.443,-7.37,99.55,1
3.463,-7.49,99.43,1
3.483,-7.49,99.43,1
3.503,-7.49,99.43,1
3.523,-7.49,99.43,1
3.543,-7.49,99.43,1
3.563,-7.49,99.43,1
3.583,-7.49,99.43,1
3.603,-7.49,99.43,1
3.623,-7.49,99.43,1
3.643,-7.49,99.43,1
3.663,-7.49,99.43,1
3.683,-7.49,99.55,1
3.703,-7.49,99.43,1
3.723,-7.49,99.43,1
3.743,-7.49,99.55,1
3.763,-7.49,99.43,1
3.783,-7.49,99.43,1
3.803,-7.49,99.55,1
3.823,-7.49,99.43,1
3.843,-7.49,99.43,1
3.863,-7.49,99.43,1
3.883,-7.49,99.43,1
3.903,-7.49,99.43,1
3.923,-7.49,99.43,1
3.943,-7.49,99.55,1
3.963,-7.49,99.55,1
3.983,-7.49,99.43,1
4.003,-7.61,99.43,1
4.023,-7.61,99.43,1
4.043,-7.49,99.43,1
4.063,-7.49,99.43,1
4.083,-7.49,99.43,1
4.104,-7.49,99.43,1
4.124,-7.49,99.43,1
4.144,-7.49,99.43,1
4.164,-7.49,99.43,1
4.184,-7.49,99.43,1
4.204,-7.49,99.43,1
4.224,-7.49,99.43,1
4.244,-7.49,99.43,1
4.264,-7.49,99.43,1
4.284,-7.49,99.43,1
4.304,-7.49,99.43,1
4.324,-7.49,99.43,1
4.344,-7.49,99.55,1
4.364,-7.49,99.55,1
4.384,-7.49,99.55,1
4.404,-7.49,99.43,1
4.424,-7.61,99.55,1
4.444,-7.49,99.55,1
4.464,-7.49,99.55,1
4.484,-7.49,99.55,1
4.504,-7.49,99.55,1
4.504,-7.49,99.43,1
4.524,-7.49,99.43,1
4.544,-7.49,99.55,1
4.564,-7.37,99.43,1
4.584,-6.76,99.43,1
4.604,-6.02,99.43,1
4.624,-5.66,99.43,1
4.644,-5.29,99.43,1
4.664,-5.17,99.43,1
4.684,-4.92,99.43,1
4.704,-4.68,99.43,1
4.724,-4.44,99.55,1
4.744,-4.44,99.43,1
4.764,-4.44,99.43,1
4.784,-4.44,99.43,1
4.804,-4.31,99.55,1
4.824,-4.44,99.55,1
4.844,-4.44,99.55,1
4.864,-4.44,99.43,1
4.884,-4.19,99.55,1
4.904,-4.07,99.55,1
4.905,-4.07,99.43,1
4.925,-4.07,99.55,0
4.945,-4.07,99.43,0
4.965,-4.19,99.43,0
4.985,-4.31,99.43,0
5.005,-4.19,99.43,0
5.025,-4.07,99.55,0
5.045,-4.07,99.43,0
5.065,-4.07,99.43,0
5.085,-4.07,99.43,0
5.105,-4.19,99.43,0
5.125,-4.07,99.43,0
5.145,-4.19,99.55,0
5.165,-4.07,99.55,0
5.185,-3.95,99.43,0
5.205,-3.95,99.43,0
5.225,-3.95,99.43,0
5.245,-3.95,99.55,0
5.265,-3.95,99.55,0
5.285,-4.07,99.55,0
5.305,-4.07,99.55,0
5.306,-4.07,99.55,0
5.326,-3.95,99.43,0
5.346,-3.95,99.43,0
5.366,-3.95,99.43,0
5.386,-4.07,99.43,0
5.406,-3.95,99.43,0
5.426,-3.95,99.55,0
5.446,-3.95,99.43,0
5.466,-3.95,99.43,0
5.486,-3.82,99.43,0
5.506,-3.82,99.43,0
5.526,-3.82,99.43,0
5.546,-3.82,99.43,0
5.566,-3.82,99.43,0
5.586,-3.95,99.43,0
5.606,-4.44,99.43,0
5.626,-5.54,99.43,0
5.646,-6.27,99.43,0
5.666,-6.76,99.43,0
5.686,-7.12,99.55,0
5.706,-8.22,99.43,0
5.726,-8.96,99.43,0
5.746,-9.32,99.43,0
5.766,-9.45,99.55,0
5.786,-9.57,99.43,0
5.806,-9.69,99.43,0
5.826,-9.81,99.43,0
5.846,-9.81,99.43,0
5.866,-9.81,99.43,0
5.886,-9.81,99.55,0
5.906,-9.81,99.43,0
5.926,-9.81,99.43,0
5.946,-9.81,99.43,0
5.966,-9.93,99.43,0
5.986,-9.93,99.43,0
6.006,-10.06,99.43,0
6.026,-9.93,99.43,0
6.046,-9.93,99.43,0
6.066,-9.93,99.43,0
6.086,-9.93,99.43,0
6.106,-10.06,99.43,0
6.107,-10.06,99.43,0
6.127,-10.06,99.55,0
6.147,-10.06,99.43,0
6.167,-10.06,99.43,0
6.187,-10.06,99.43,0
6.207,-10.06,99.43,0
6.227,-10.06,99.43,0
6.247,-9.93,99.43,0
6.267,-10.06,99.43,0
6.287,-10.06,99.43,0
6.307,-10.06,99.43,0
6.327,-10.18,99.55,1
6.347,-10.18,99.55,1
6.367,-10.06,99.55,1
6.387,-10.06,99.43,1
6.407,-10.06,99.43,1
6.427,-10.06,99.43,1
6.447,-10.06,99.43,1
6.467,-10.06,99.55,1
6.487,-10.18,99.43,1
6.507,-10.18,99.43,1
6.507,-10.18,99.43,1
6.527,-10.18,99.43,1
6.547,-10.18,99.55,1
6.567,-10.18,99.43,1
6.587,-10.18,99.43,1
6.607,-10.3,99.43,1
6.627,-10.18,99.43,1
6.647,-9.57,99.43,1
6.667,-9.08,99.43,1
6.687,-8.47,99.43,1
