Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
0.057,-10.3,-10.91,1
0.077,-10.42,-10.91,1
0.097,-10.42,-10.91,1
0.117,-10.42,-10.91,1
0.137,-10.3,-10.91,1
0.157,-10.3,-10.91,1
0.177,-10.3,-10.91,1
0.197,-10.42,-10.91,1
0.217,-10.42,-10.91,1
0.237,-10.3,-10.91,1
0.257,-10.3,-10.91,1
0.277,-10.3,-10.91,1
0.297,-10.3,-10.91,1
0.317,-10.3,-10.91,1
0.337,-10.3,-10.91,1
0.357,-10.3,-10.91,1
0.377,-10.3,-10.91,1
0.397,-10.3,-10.91,1
0.417,-10.3,-10.91,1
0.437,-10.3,-10.91,1
0.457,-10.3,-10.91,1
0.477,-10.3,-10.91,1
0.497,-10.3,-10.91,1
0.517,-10.3,-10.91,1
0.537,-10.42,-10.91,1
0.557,-10.3,-10.91,1
0.577,-10.42,-10.91,1
0.598,-10.42,-10.91,1
0.617,-10.3,-10.91,1
0.637,-10.3,-10.91,1
0.657,-10.3,-10.91,1
0.677,-10.3,-10.91,1
0.697,-10.3,-10.91,1
0.717,-10.3,-10.91,1
0.737,-10.3,-10.91,1
0.757,-10.3,-10.91,1
0.777,-10.42,-10.91,1
0.797,-10.42,-10.91,1
0.817,-10.3,-10.91,1
0.837,-10.42,-10.91,1
0.857,-10.3,-10.91,1
0.877,-10.42,-10.91,1
0.897,-10.3,-10.91,1
0.917,-10.42,-10.91,1
0.937,-10.3,-10.91,1
0.957,-10.3,-10.91,1
0.977,-10.3,-10.91,1
0.997,-10.42,-10.91,1
1.017,-10.42,-10.91,1
1.037,-10.42,-10.91,1
1.057,-10.42,-10.91,1
1.077,-10.3,-10.91,1
1.097,-10.3,-10.91,1
1.117,-10.3,-10.91,1
1.137,-10.42,-10.91,1
1.157,-10.3,-10.91,1
1.177,-10.3,-10.91,1
1.197,-10.3,-10.91,1
1.217,-10.3,-10.91,1
1.237,-10.3,-10.91,1
1.257,-10.3,-10.91,1
1.277,-10.3,-10.91,1
1.297,-10.3,-10.91,1
1.317,-10.3,-10.91,1
1.337,-10.3,-10.91,1
1.357,-10.3,-10.91,1
1.377,-10.3,-10.91,1
1.397,-10.42,-10.91,1
1.417,-10.3,-10.91,1
1.437,-10.3,-10.91,1
1.457,-10.3,-10.91,1
1.477,-10.3,-10.91,1
1.497,-10.3,-10.91,1
1.517,-10.42,-10.91,1
1.537,-10.3,-10.91,1
1.558,-10.42,-10.91,1
1.578,-10.3,-10.91,1
1.598,-10.3,-10.91,1
1.618,-10.3,-10.91,1
1.638,-10.3,-10.91,1
1.658,-10.3,-10.91,1
1.678,-10.3,-10.91,1
1.698,-10.3,-10.91,1
1.718,-10.3,-10.91,1
1.738,-10.3,-10.91,1
1.758,-10.3,-10.91,1
1.778,-10.42,-10.91,1
1.798,-10.3,-10.91,1
1.818,-10.3,-10.91,1
1.838,-10.3,-10.79,1
1.858,-10.3,-10.79,1
1.878,-10.3,-10.67,1
1.898,-10.3,-10.67,1
1.918,-10.3,-10.67,1
1.938,-10.3,-10.67,1
1.958,-10.3,-10.67,1
1.978,-10.3,-10.67,1
1.998,-10.3,-10.67,1
2.018,-10.3,-10.67,1
2.038,-10.3,-10.67,1
2.058,-10.3,-10.67,1
2.078,-10.3,-10.67,1
2.098,-10.3,-10.67,1
2.118,-10.3,-10.67,1
2.138,-10.42,-10.67,1
2.158,-10.42,-10.67,1
2.178,-10.54,-10.67,1
2.198,-10.67,-10.67,1
2.218,-10.79,-10.67,1
2.238,-10.91,-10.67,1
2.258,-10.91,-10.67,1
2.278,-10.91,-10.67,1
2.298,-10.91,-10.67,1
2.318,-10.91,-10.67,1
2.338,-10.91,-10.67,1
2.358,-10.91,-10.67,1
2.378,-10.91,-10.67,1
2.398,-11.03,-10.67,1
2.418,-11.03,-10.67,1
2.438,-10.91,-10.67,1
2.458,-10.91,-10.67,1
2.478,-10.91,-10.67,1
2.498,-10.91,-10.67,1
2.518,-10.91,-10.67,1
2.538,-11.03,-10.67,1
2.558,-10.91,-10.67,1
2.578,-10.91,-10.67,1
2.598,-10.91,-10.67,1
