Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
0.083,,,
0.103,-7.49,99.43,1
0.123,-7.49,99.43,1
0.143,-7.49,99.43,1
0.163,-7.49,99.55,1
0.183,-7.49,99.43,1
0.203,-7.49,99.43,1
0.223,-7.49,99.43,1
0.243,-7.49,99.43,1
0.263,-7.49,99.43,1
0.283,-7.49,99.43,1
0.303,-7.49,99.43,1
0.323,-7.49,99.43,1
0.343,-7.49,99.43,1
0.363,-7.49,99.55,1
0.383,-7.49,99.43,1
0.403,-7.49,99.43,1
0.423,-7.49,99.43,1
0.443,-7.49,99.43,1
0.463,-7.49,99.43,1
0.483,-7.49,99.43,1
0.503,-7.49,99.43,1
0.523,-7.49,99.43,1
0.543,-7.49,99.43,1
0.563,-7.49,99.43,1
0.583,-7.61,99.43,1
0.603,-7.49,99.43,1
0.623,-7.49,99.43,1
0.643,-7.49,99.43,1
0.663,-7.49,99.43,1
0.683,-7.49,99.43,1
0.703,-7.49,99.43,1
0.723,-7.49,99.43,1
0.743,-7.49,99.43,1
0.763,-7.49,99.43,1
0.783,-7.49,99.43,1
0.803,-7.49,99.43,1
0.823,-7.61,99.43,1
0.843,-7.49,99.43,1
0.863,-7.49,99.43,1
0.884,-7.49,99.43,1
0.904,-7.49,99.43,1
0.924,-7.49,99.43,1
0.944,-7.49,99.55,1
0.964,-7.49,99.43,1
0.984,-7.49,99.55,1
1.004,-7.49,99.43,1
1.024,-7.49,99.43,1
1.044,-7.49,99.43,1
1.064,-7.49,99.43,1
1.084,-7.49,99.43,1
1.104,-7.49,99.43,1
1.124,-7.49,99.43,1
1.144,-7.49,99.43,1
1.164,-7.49,99.43,1
1.184,-7.49,99.43,1
1.204,-7.49,99.43,1
1.224,-7.49,99.55,1
1.244,-7.49,99.55,1
1.264,-7.49,99.43,1
1.284,-7.61,99.43,1
1.284,-7.49,99.43,1
1.304,-7.49,99.43,1
1.324,-7.49,99.43,1
1.344,-7.49,99.43,1
1.364,-7.49,99.43,1
1.384,-7.49,99.43,1
1.404,-7.49,99.43,1
1.424,-7.49,99.43,1
1.444,-7.49,99.43,1
1.464,-7.49,99.43,1
1.484,-7.49,99.43,1
1.504,-7.49,99.43,1
1.524,-7.49,99.43,1
1.544,-7.49,99.43,1
1.564,-7.49,99.43,1
1.584,-7.49,99.55,1
1.604,-7.49,99.43,1
1.624,-7.49,99.43,1
1.644,-7.49,99.43,1
1.664,-7.49,99.43,1
1.684,-7.49,99.43,1
1.685,-7.49,99.43,1
1.705,-7.49,99.43,1
1.725,-7.49,99.43,1
1.745,-7.49,99.43,1
1.765,-7.49,99.43,1
1.785,-7.49,99.43,1
1.805,-7.49,99.43,1
1.825,-7.49,99.43,1
1.845,-7.49,99.43,1
1.865,-7.49,99.43,1
1.885,-7.49,99.43,1
1.905,-7.49,99.43,1
1.925,-7.49,99.43,1
1.945,-7.49,99.43,1
1.965,-7.49,99.43,1
1.985,-7.49,99.55,1
2.005,-7.49,99.43,1
2.025,-7.49,99.43,1
2.045,-7.49,99.43,1
2.065,-7.49,99.43,1
2.085,-7.49,99.43,1
2.105,-7.49,99.43,1
2.125,-7.49,99.43,1
2.145,-7.49,99.43,1
2.165,-7.49,99.55,1
2.185,-7.49,99.43,1
2.205,-7.49,99.43,1
2.225,-7.49,99.43,1
2.245,-7.49,99.43,1
2.265,-7.61,99.43,1
2.285,-7.49,99.43,1
2.305,-7.49,99.43,1
2.325,-7.49,99.43,1
2.345,-7.49,99.43,1
2.365,-7.49,99.43,1
2.385,-7.61,99.43,1
2.405,-7.49,99.43,1
2.425,-7.49,99.43,1
2.445,-7.49,99.43,1
2.465,-7.49,99.43,1
2.485,-7.49,99.43,1
2.486,-7.49,99.43,1
2.506,-7.49,99.43,1
2.526,-7.49,99.43,1
2.546,-7.49,99.43,1
2.566,-7.49,99.43,1
2.586,-7.49,99.43,1
2.606,-7.49,99.43,1
2.626,-7.61,99.43,1
2.646,-7.49,99.43,1
2.666,-7.49,99.43,1
2.686,-7.49,99.43,1
2.706,-7.49,99.43,1
2.726,-7.49,99.55,1
2.746,-7.49,99.43,1
2.766,-7.49,99.55,1
2.786,-7.49,99.43,1
2.806,-7.49,99.43,1
2.826,-7.49,99.43,1
2.846,-7.49,99.43,1
2.866,-7.49,99.43,1
2.886,-7.49,99.43,1
2.887,-7.49,99.43,1
2.907,-7.49,99.43,1
2.927,-7.49,99.43,1
2.947,-7.49,99.43,1
2.967,-7.49,99.43,1
2.987,-7.49,99.43,1
3.007,-7.49,99.43,1
3.027,-7.49,99.43,1
3.047,-7.49,99.43,1
3.067,-7.49,99.43,1
3.087,-7.61,99.43,1
3.107,-7.49,99.43,1
3.127,-7.49,99.43,1
3.147,-7.49,99.43,1
3.167,-7.49,99.55,1
3.187,-7.49,99.43,1
3.207,-7.49,99.55,1
3.227,-7.49,99.43,1
3.247,-7.49,99.43,1
3.267,-7.49,99.43,1
3.287,-7.37,99.43,1
3.307,-7.0,99.43,1
3.327,-6.76,99.43,1
3.347,-6.88,99.43,1
3.367,-7.0,99.43,1
3.387,-7.12,99.43,1
3.407,-7.12,99.43,1
3.427,-7.25,99.43,1
3.447,-7.25,99.43,1
3.467,-7.37,99.43,1
3.487,-7.37,99.43,1
3.507,-7.37,99.43,1
3.527,-7.37,99.43,1
3.547,-7.49,99.43,1
3.567,-7.49,99.43,1
3.587,-7.49,99.55,1
3.607,-7.49,99.43,1
3.627,-7.49,99.43,1
3.647,-7.49,99.43,1
3.667,-7.49,99.55,1
3.687,-7.49,99.43,1
3.707,-7.49,99.43,1
3.727,-7.49,99.43,1
3.747,-7.49,99.43,1
3.767,-7.49,99.43,1
3.787,-7.49,99.43,1
3.807,-7.49,99.43,1
3.827,-7.49,99.43,1
3.847,-7.49,99.55,1
3.867,-7.49,99.43,1
3.887,-7.49,99.43,1
3.907,-7.49,99.43,1
3.927,-7.49,99.43,1
3.947,-7.49,99.43,1
3.967,-7.49,99.43,1
3.987,-7.49,99.43,1
4.007,-7.49,99.43,1
4.027,-7.49,99.43,1
4.047,-7.49,99.43,1
4.067,-7.49,99.43,1
4.087,-7.49,99.43,1
4.088,-7.49,99.43,1
4.108,-7.49,99.43,1
4.128,-7.49,99.43,1
4.148,-7.49,99.43,1
4.168,-7.49,99.43,1
4.188,-7.49,99.43,1
4.208,-7.49,99.43,1
4.228,-7.49,99.43,1
4.248,-7.49,99.43,1
4.268,-7.49,99.43,1
4.288,-7.49,99.43,1
4.308,-7.49,99.43,1
4.328,-7.49,99.43,1
4.348,-7.49,99.43,1
4.368,-7.49,99.43,1
4.388,-7.49,99.43,1
4.408,-7.49,99.43,1
4.428,-7.49,99.43,1
4.448,-7.49,99.43,1
4.468,-7.49,99.43,1
4.488,-7.49,99.43,1
4.508,-7.49,99.43,1
4.528,-7.49,99.43,1
4.548,-6.51,99.43,1
4.568,-5.17,99.43,1
4.588,-4.31,99.43,1
4.608,-3.58,99.43,1
4.628,-2.85,99.43,1
4.648,-2.48,99.43,1
