Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
0.082,,,
0.102,-7.49,99.55,1
0.122,-7.49,99.43,1
0.142,-7.49,99.43,1
0.162,-7.49,99.43,1
0.182,-7.49,99.43,1
0.202,-7.49,99.43,1
0.222,-7.49,99.43,1
0.242,-7.49,99.43,1
0.262,-7.49,99.43,1
0.282,-7.49,99.55,1
0.302,-7.49,99.55,1
0.322,-7.49,99.43,1
0.342,-7.49,99.43,1
0.362,-7.49,99.43,1
0.382,-7.49,99.43,1
0.402,-7.49,99.43,1
0.422,-7.49,99.43,1
0.442,-7.49,99.43,1
0.462,-7.49,99.43,1
0.483,-7.49,99.43,1
0.503,-7.49,99.43,1
0.523,-7.49,99.43,1
0.543,-7.49,99.43,1
0.563,-7.49,99.43,1
0.583,-7.49,99.43,1
0.603,-7.49,99.43,1
0.623,-7.49,99.43,1
0.643,-7.49,99.43,1
0.663,-7.49,99.43,1
0.683,-7.49,99.43,1
0.703,-7.49,99.43,1
0.723,-7.49,99.43,1
0.743,-7.49,99.43,1
0.763,-7.49,99.43,1
0.783,-7.49,99.43,1
0.803,-7.49,99.43,1
0.823,-7.49,99.43,1
0.843,-7.49,99.43,1
0.863,-7.49,99.43,1
0.883,-7.49,99.43,1
0.903,-7.49,99.43,1
0.923,-7.49,99.43,1
0.943,-7.49,99.43,1
0.963,-7.49,99.43,1
0.983,-7.49,99.43,1
1.003,-7.49,99.43,1
1.023,-7.49,99.43,1
1.043,-7.49,99.43,1
1.063,-7.49,99.43,1
1.083,-7.49,99.43,1
1.103,-7.49,99.43,1
1.123,-7.49,99.43,1
1.143,-7.49,99.43,1
1.163,-7.49,99.43,1
1.183,-7.49,99.43,1
1.203,-7.49,99.43,1
1.223,-7.49,99.43,1
1.243,-7.61,99.43,1
1.263,-7.49,99.43,1
1.283,-7.49,99.43,1
1.284,-7.61,99.43,1
1.304,-7.49,99.43,1
1.324,-7.49,99.43,1
1.344,-7.49,99.43,1
1.364,-7.49,99.43,1
1.384,-7.49,99.43,1
1.404,-7.49,99.43,1
1.424,-7.49,99.43,1
1.444,-7.49,99.43,1
1.464,-7.49,99.43,1
1.484,-7.49,99.43,1
1.504,-7.49,99.43,1
1.524,-7.49,99.43,1
1.544,-7.49,99.43,1
1.564,-7.49,99.43,1
1.584,-7.49,99.43,1
1.604,-7.49,99.43,1
1.624,-7.49,99.43,1
1.644,-7.49,99.43,1
1.664,-7.49,99.43,1
1.685,-7.49,99.43,1
1.705,-7.49,99.43,1
1.725,-7.49,99.43,1
1.745,-7.61,99.43,1
1.765,-7.49,99.43,1
1.785,-7.49,99.43,1
1.805,-7.49,99.43,1
1.825,-7.49,99.43,1
1.845,-7.49,99.43,1
1.865,-7.49,99.43,1
1.885,-7.49,99.43,1
1.905,-7.49,99.43,1
1.925,-7.49,99.43,1
1.945,-7.49,99.43,1
1.965,-7.49,99.43,1
1.985,-7.49,99.43,1
2.005,-7.49,99.55,1
2.025,-7.49,99.43,1
2.045,-7.49,99.43,1
2.065,-7.49,99.43,1
2.085,-7.49,99.55,1
2.105,-7.49,99.43,1
2.125,-7.49,99.43,1
2.145,-7.49,99.43,1
2.165,-7.49,99.55,1
2.185,-7.49,99.43,1
2.205,-7.49,99.43,1
2.225,-7.49,99.43,1
2.245,-7.49,99.43,1
2.265,-7.49,99.43,1
2.285,-7.49,99.43,1
2.305,-7.49,99.43,1
2.325,-7.49,99.43,1
2.345,-7.49,99.43,1
2.365,-7.49,99.43,1
2.385,-7.49,99.43,1
2.405,-7.49,99.43,1
2.425,-7.49,99.43,1
2.445,-7.49,99.43,1
2.465,-7.49,99.43,1
2.486,-7.49,99.55,1
2.506,-7.49,99.55,1
2.526,-7.49,99.43,1
2.546,-7.49,99.43,1
2.566,-7.49,99.43,1
2.586,-7.49,99.43,1
2.606,-7.49,99.43,1
2.626,-7.49,99.43,1
2.646,-7.49,99.43,1
2.666,-7.49,99.43,1
2.686,-7.49,99.43,1
2.706,-7.49,99.43,1
2.726,-7.49,99.43,1
2.746,-7.49,99.43,1
2.766,-7.49,99.43,1
2.786,-7.49,99.43,1
2.806,-7.49,99.43,1
2.826,-7.49,99.43,1
2.846,-7.49,99.43,1
2.866,-7.49,99.43,1
2.886,-7.49,99.43,1
2.906,-7.49,99.43,1
2.926,-7.49,99.43,1
2.946,-7.49,99.43,1
2.966,-7.49,99.43,1
2.986,-7.49,99.55,1
3.006,-7.49,99.43,1
3.026,-7.49,99.43,1
3.046,-7.49,99.43,1
3.066,-7.49,99.43,1
3.086,-7.49,99.43,1
3.106,-7.49,99.43,1
3.126,-7.49,99.43,1
3.146,-7.49,99.43,1
3.166,-7.49,99.43,1
3.186,-7.49,99.43,1
3.206,-7.49,99.43,1
3.226,-7.49,99.43,1
3.246,-7.49,99.43,1
3.266,-7.49,99.43,1
3.287,-7.49,99.43,1
3.307,-7.49,99.43,1
3.327,-7.49,99.43,1
3.347,-7.49,99.43,1
3.367,-7.49,99.43,1
3.387,-7.49,99.43,1
3.407,-7.49,99.43,1
3.427,-7.49,99.43,1
3.447,-7.49,99.43,1
3.467,-7.49,99.43,1
3.487,-7.49,99.43,1
3.507,-7.49,99.43,1
3.527,-7.49,99.43,1
3.547,-7.49,99.43,1
3.567,-7.49,99.43,1
3.587,-7.49,99.43,1
3.607,-7.49,99.43,1
3.627,-7.49,99.43,1
3.647,-7.49,99.43,1
3.667,-7.49,99.43,1
3.687,-7.49,99.43,1
3.707,-7.49,99.43,1
3.727,-7.61,99.43,1
3.747,-7.49,99.43,1
3.767,-7.49,99.43,1
3.787,-7.49,99.43,1
3.807,-7.49,99.43,1
3.827,-7.49,99.43,1
3.847,-7.49,99.43,1
3.867,-7.49,99.43,1
3.887,-7.49,99.43,1
3.907,-7.49,99.43,1
3.927,-7.49,99.43,1
3.947,-7.49,99.43,1
3.967,-7.49,99.43,1
3.987,-7.49,99.43,1
4.007,-7.49,99.43,1
4.027,-7.49,99.43,1
4.047,-7.49,99.43,1
4.067,-7.49,99.43,1
4.088,-7.49,99.43,1
4.108,-7.49,99.43,1
4.128,-7.49,99.43,1
4.148,-7.49,99.43,1
4.168,-7.49,99.43,1
4.188,-7.49,99.43,1
4.208,-7.49,99.43,1
4.228,-7.49,99.43,1
4.248,-7.49,99.43,1
4.268,-7.49,99.43,1
4.288,-7.49,99.43,1
4.308,-7.49,99.43,1
4.328,-7.49,99.43,1
4.348,-7.49,99.43,1
4.368,-7.49,99.43,1
4.388,-7.49,99.43,1
4.408,-7.49,99.43,1
4.428,-7.49,99.43,1
4.448,-7.49,99.43,1
4.468,-7.49,99.43,1
4.488,-7.49,99.43,1
4.508,-7.49,99.43,1
4.528,-7.49,99.43,1
4.548,-7.49,99.43,1
4.568,-7.49,99.43,1
4.588,-7.49,99.55,1
4.608,-7.49,99.43,1
4.628,-6.63,99.43,1
4.648,-5.41,99.43,1
4.668,-5.05,99.55,1
4.688,-4.44,99.43,1
4.708,-3.82,99.43,1
4.728,-3.7,99.43,1
4.748,-3.7,99.43,1
4.768,-3.95,99.43,1
4.788,-3.58,99.43,1
4.808,-3.09,99.43,1
4.828,-3.09,99.43,1
4.848,-3.21,99.43,1
4.868,-3.7,99.43,0
4.888,-3.34,99.43,0
4.889,-3.21,99.43,0
4.909,-3.21,99.43,0
4.929,-3.34,99.43,0
4.949,-3.7,99.43,0
4.969,-3.21,99.43,0
4.989,-3.09,99.43,0
5.009,-3.21,99.43,0
5.029,-3.34,99.43,0
5.049,-3.7,99.43,0
5.069,-3.34,99.43,0
5.089,-3.21,99.43,0
5.109,-3.21,99.43,0
5.129,-3.34,99.43,0
5.149,-3.46,99.43,0
5.169,-3.09,99.43,0
5.189,-3.21,99.43,0
5.209,-3.34,99.43,0
5.229,-3.46,99.43,0
5.249,-5.17,99.43,0
5.269,-6.76,99.43,0
5.289,-7.49,99.43,0
5.29,-9.08,99.43,0
5.31,-10.06,99.43,0
5.33,-10.3,99.43,0
5.35,-10.42,99.43,0
5.37,-10.54,99.43,0
5.39,-10.54,99.43,0
5.41,-10.67,99.43,0
5.43,-10.54,99.43,0
5.45,-10.67,99.43,0
5.47,-10.67,99.43,0
5.49,-10.67,99.43,0
5.51,-10.67,99.43,0
5.53,-10.54,99.43,0
5.55,-10.67,99.43,0
5.57,-10.67,99.43,0
5.59,-10.67,99.43,0
5.61,-10.54,99.43,0
5.63,-10.67,99.43,1
5.65,-10.67,99.43,1
5.67,-10.67,99.43,1
5.69,-10.67,99.43,1
5.71,-10.67,99.43,1
5.73,-10.67,99.43,1
5.75,-10.67,99.43,1
5.77,-10.67,99.43,1
5.79,-10.67,99.43,1
5.81,-10.67,99.43,1
5.83,-10.67,99.43,1
5.85,-10.54,99.43,1
5.87,-9.69,99.43,1
5.89,-8.83,99.43,1
5.91,-7.86,99.43,1
5.93,-6.51,99.43,1
5.95,-5.54,99.43,1
5.97,-4.68,99.43,1
5.99,-4.44,99.43,1
6.01,-4.31,99.43,1
6.03,-4.44,99.43,1
6.05,-3.95,99.43,1
6.07,-3.46,99.43,1
6.09,-3.46,99.43,1
6.091,-3.58,99.43,0
6.111,-3.82,99.43,0
6.131,-3.58,99.43,0
6.151,-3.34,99.43,0
6.171,-3.46,99.55,0
6.191,-3.46,99.43,0
6.211,-3.7,99.43,0
6.231,-3.46,99.43,0
6.251,-3.21,99.43,0
6.271,-3.34,99.43,0
6.291,-3.46,99.43,0
6.311,-3.7,99.43,0
6.331,-3.46,99.43,0
6.351,-3.21,99.43,0
6.371,-3.21,99.43,0
6.391,-3.34,99.43,0
6.411,-3.46,99.43,0
6.431,-3.21,99.43,0
6.451,-3.21,99.43,0
6.471,-3.46,99.43,0
6.491,-3.82,99.43,0
6.491,-5.78,99.43,0
6.511,-7.0,99.43,0
6.531,-7.98,99.55,0
6.551,-9.45,99.43,0
6.571,-10.06,99.43,0
6.591,-10.3,99.43,0
6.611,-10.54,99.43,0
6.631,-10.54,99.43,0
6.651,-10.54,99.43,0
6.671,-10.54,99.43,0
6.691,-10.54,99.43,0
6.711,-10.67,99.55,0
6.731,-10.67,99.43,0
6.751,-10.67,99.43,0
6.771,-10.54,99.43,0
6.791,-10.67,99.43,0
6.811,-10.67,99.43,0
6.831,-10.67,99.43,0
6.851,-10.67,99.43,0
6.871,-10.54,99.43,0
6.892,-10.67,99.43,1
6.912,-10.67,99.43,1
6.932,-10.67,99.43,1
6.952,-10.54,99.43,1
6.972,-10.67,99.43,1
6.992,-10.67,99.43,1
7.012,-10.67,99.43,1
7.032,-10.67,99.43,1
7.052,-10.54,99.43,1
7.072,-10.67,99.43,1
7.092,-10.67,99.43,1
7.112,-10.42,99.43,1
7.132,-9.45,99.43,1
7.152,-8.47,99.43,1
7.172,-7.37,99.43,1
7.192,-6.27,99.55,1
7.212,-5.29,99.43,1
7.232,-4.56,99.43,1
7.252,-4.31,99.43,1
7.272,-4.31,99.43,1
7.292,-4.31,99.43,1
7.292,-3.95,99.43,1
7.312,-3.46,99.43,1
7.332,-3.46,99.43,1
7.352,-3.58,99.43,0
7.372,-3.82,99.43,0
7.392,-3.58,99.43,0
7.412,-3.21,99.43,0
7.432,-3.34,99.43,0
7.452,-3.46,99.43,0
7.472,-3.7,99.43,0
7.492,-3.34,99.43,0
7.512,-3.21,99.43,0
7.532,-3.34,99.43,0
7.552,-3.58,99.43,0
7.572,-3.82,99.43,0
7.592,-3.46,99.43,0
7.612,-3.09,99.43,0
7.632,-3.34,99.55,0
7.652,-3.34,99.43,0
7.672,-3.46,99.55,0
7.693,-3.21,99.43,0
7.713,-3.21,99.43,0
7.733,-3.34,99.43,0
7.753,-4.44,99.43,0
7.773,-6.02,99.43,0
7.793,-7.0,99.43,0
7.813,-7.49,99.43,0
7.833,-7.61,99.43,0
