Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
0.089,-7.49,99.55,1
0.109,-7.49,99.55,1
0.129,-7.49,99.55,1
0.149,-7.49,99.43,1
0.169,-7.49,99.55,1
0.189,-7.49,99.43,1
0.209,-7.49,99.55,1
0.229,-7.49,99.55,1
0.249,-7.49,99.55,1
0.269,-7.49,99.55,1
0.289,-7.49,99.55,1
0.309,-7.49,99.55,1
0.329,-7.49,99.43,1
0.349,-7.49,99.55,1
0.369,-7.49,99.55,1
0.389,-7.49,99.55,1
0.409,-7.49,99.55,1
0.429,-7.49,99.55,1
0.449,-7.49,99.55,1
0.469,-7.49,99.55,1
0.49,-7.49,99.55,1
0.51,-7.49,99.55,1
0.53,-7.49,99.55,1
0.55,-7.49,99.55,1
0.57,-7.49,99.55,1
0.59,-7.49,99.55,1
0.61,-7.49,99.55,1
0.63,-7.49,99.55,1
0.65,-7.49,99.55,1
0.67,-7.49,99.55,1
0.69,-7.49,99.55,1
0.71,-7.49,99.55,1
0.73,-7.49,99.55,1
0.75,-7.49,99.55,1
0.77,-7.49,99.55,1
0.79,-7.49,99.43,1
0.81,-7.49,99.55,1
0.83,-7.49,99.55,1
0.85,-7.49,99.55,1
0.87,-7.49,99.43,1
0.89,-7.49,99.43,1
0.91,-7.49,99.43,1
0.93,-7.49,99.43,1
0.95,-7.49,99.55,1
0.97,-7.49,99.43,1
0.99,-7.49,99.43,1
1.01,-7.49,99.43,1
1.03,-7.49,99.43,1
1.051,-7.49,99.55,1
1.07,-7.49,99.43,1
1.09,-7.49,99.43,1
1.11,-7.49,99.43,1
1.13,-7.49,99.43,1
1.15,-7.49,99.43,1
1.17,-7.49,99.55,1
1.19,-7.49,99.43,1
1.21,-7.49,99.43,1
1.23,-7.49,99.43,1
1.25,-7.49,99.55,1
1.27,-7.49,99.55,1
1.29,-7.49,99.55,1
1.31,-7.49,99.55,1
1.33,-7.49,99.55,1
1.35,-7.49,99.55,1
1.37,-7.49,99.43,1
1.39,-7.49,99.55,1
1.41,-7.49,99.43,1
1.43,-7.49,99.43,1
1.45,-7.49,99.43,1
1.47,-7.49,99.43,1
1.49,-7.49,99.43,1
1.51,-7.49,99.43,1
1.53,-7.49,99.43,1
1.55,-7.49,99.43,1
1.57,-7.49,99.43,1
1.59,-7.49,99.43,1
1.61,-7.49,99.55,1
1.63,-7.49,99.43,1
1.65,-7.49,99.43,1
1.67,-7.49,99.55,1
1.691,-7.49,99.43,1
1.711,-7.49,99.43,1
1.731,-7.49,99.55,1
1.751,-7.49,99.43,1
1.771,-7.49,99.55,1
1.791,-7.49,99.55,1
1.811,-7.49,99.43,1
1.831,-7.49,99.55,1
1.851,-7.49,99.55,1
1.871,-7.49,99.55,1
1.891,-7.49,99.55,1
1.911,-7.49,99.55,1
1.931,-7.49,99.43,1
1.951,-7.49,99.43,1
1.971,-7.49,99.43,1
1.991,-7.49,99.43,1
2.011,-7.49,99.43,1
2.031,-7.49,99.43,1
2.051,-7.49,99.55,1
2.071,-7.49,99.43,1
2.091,-7.49,99.43,1
2.111,-7.49,99.43,1
2.131,-7.49,99.43,1
2.151,-7.49,99.43,1
2.171,-7.49,99.43,1
2.191,-7.49,99.43,1
2.211,-7.49,99.43,1
2.231,-7.49,99.55,1
2.251,-7.49,99.55,1
2.271,-7.49,99.55,1
2.291,-7.49,99.55,1
2.311,-7.49,99.55,1
2.331,-7.49,99.55,1
2.351,-7.49,99.55,1
2.371,-7.49,99.55,1
2.391,-7.49,99.55,1
2.411,-7.49,99.43,1
2.431,-7.49,99.43,1
2.451,-7.49,99.43,1
2.471,-7.49,99.43,1
2.492,-7.49,99.43,1
2.512,-7.49,99.43,1
2.532,-7.49,99.55,1
2.552,-7.49,99.43,1
2.572,-7.49,99.43,1
2.592,-7.49,99.43,1
2.612,-7.49,99.43,1
2.632,-7.49,99.55,1
2.652,-7.49,99.43,1
2.672,-7.49,99.43,1
2.692,-7.49,99.43,1
2.712,-7.49,99.43,1
2.732,-7.49,99.55,1
2.752,-7.49,99.55,1
2.772,-7.49,99.55,1
2.792,-7.49,99.55,1
2.812,-7.49,99.55,1
2.832,-7.49,99.55,1
2.852,-7.49,99.55,1
2.872,-7.49,99.55,1
2.892,-7.49,99.43,1
2.912,-7.49,99.43,1
2.932,-7.49,99.43,1
2.952,-7.49,99.43,1
2.972,-7.49,99.43,1
2.992,-7.49,99.43,1
3.012,-7.49,99.43,1
3.032,-7.49,99.43,1
3.052,-7.49,99.43,1
3.072,-7.49,99.43,1
3.092,-7.49,99.55,1
3.112,-7.49,99.43,1
3.132,-7.49,99.43,1
3.152,-7.49,99.43,1
3.172,-7.49,99.55,1
3.192,-7.49,99.55,1
3.212,-7.49,99.55,1
3.232,-7.49,99.43,1
3.252,-7.49,99.55,1
3.272,-7.49,99.55,1
